Skew Scale,Structure ID,Unique Structures,Alpha,Power,Probability of Structure,Expected Observations,Minimum Required Sample Size
0.5,50,1000,0.01,0.8,0.0014243083494057407,14243.083494057406,26
0.5,50,1000,0.01,0.9,0.0014243083494057407,14243.083494057406,32
0.5,50,1000,0.05,0.8,0.0014243083494057407,14243.083494057406,17
0.5,50,1000,0.05,0.9,0.0014243083494057407,14243.083494057406,23
0.5,51,1000,0.01,0.8,0.0005769781391429006,5769.781391429005,26
0.5,51,1000,0.01,0.9,0.0005769781391429006,5769.781391429005,32
0.5,51,1000,0.05,0.8,0.0005769781391429006,5769.781391429005,17
0.5,51,1000,0.05,0.9,0.0005769781391429006,5769.781391429005,23
0.5,52,1000,0.01,0.8,0.0027021505301651956,27021.505301651956,26
0.5,52,1000,0.01,0.9,0.0027021505301651956,27021.505301651956,32
0.5,52,1000,0.05,0.8,0.0027021505301651956,27021.505301651956,17
0.5,52,1000,0.05,0.9,0.0027021505301651956,27021.505301651956,23
0.5,53,1000,0.01,0.8,0.0004947166255183183,4947.166255183183,26
0.5,53,1000,0.01,0.9,0.0004947166255183183,4947.166255183183,32
0.5,53,1000,0.05,0.8,0.0004947166255183183,4947.166255183183,17
0.5,53,1000,0.05,0.9,0.0004947166255183183,4947.166255183183,23
0.5,54,1000,0.01,0.8,0.004510405945249777,45104.05945249777,26
0.5,54,1000,0.01,0.9,0.004510405945249777,45104.05945249777,32
0.5,54,1000,0.05,0.8,0.004510405945249777,45104.05945249777,17
0.5,54,1000,0.05,0.9,0.004510405945249777,45104.05945249777,23
0.5,55,1000,0.01,0.8,0.0006680518779482859,6680.518779482859,26
0.5,55,1000,0.01,0.9,0.0006680518779482859,6680.518779482859,32
0.5,55,1000,0.05,0.8,0.0006680518779482859,6680.518779482859,17
0.5,55,1000,0.05,0.9,0.0006680518779482859,6680.518779482859,23
0.5,56,1000,0.01,0.8,0.000558925726534096,5589.25726534096,26
0.5,56,1000,0.01,0.9,0.000558925726534096,5589.25726534096,32
0.5,56,1000,0.05,0.8,0.000558925726534096,5589.25726534096,17
0.5,56,1000,0.05,0.9,0.000558925726534096,5589.25726534096,23
0.5,57,1000,0.01,0.8,0.0004951819958678868,4951.819958678868,26
0.5,57,1000,0.01,0.9,0.0004951819958678868,4951.819958678868,32
0.5,57,1000,0.05,0.8,0.0004951819958678868,4951.819958678868,17
0.5,57,1000,0.05,0.9,0.0004951819958678868,4951.819958678868,23
0.5,58,1000,0.01,0.8,0.00038589211711421946,3858.9211711421945,26
0.5,58,1000,0.01,0.9,0.00038589211711421946,3858.9211711421945,32
0.5,58,1000,0.05,0.8,0.00038589211711421946,3858.9211711421945,17
0.5,58,1000,0.05,0.9,0.00038589211711421946,3858.9211711421945,23
0.5,59,1000,0.01,0.8,0.003623884910872549,36238.84910872549,26
0.5,59,1000,0.01,0.9,0.003623884910872549,36238.84910872549,32
0.5,59,1000,0.05,0.8,0.003623884910872549,36238.84910872549,17
0.5,59,1000,0.05,0.9,0.003623884910872549,36238.84910872549,23
0.5,60,1000,0.01,0.8,0.00243751004800481,24375.100480048102,26
0.5,60,1000,0.01,0.9,0.00243751004800481,24375.100480048102,32
0.5,60,1000,0.05,0.8,0.00243751004800481,24375.100480048102,17
0.5,60,1000,0.05,0.9,0.00243751004800481,24375.100480048102,23
0.5,61,1000,0.01,0.8,0.00031795410082387395,3179.5410082387393,26
0.5,61,1000,0.01,0.9,0.00031795410082387395,3179.5410082387393,32
0.5,61,1000,0.05,0.8,0.00031795410082387395,3179.5410082387393,17
0.5,61,1000,0.05,0.9,0.00031795410082387395,3179.5410082387393,23
0.5,62,1000,0.01,0.8,0.001994764689087502,19947.646890875018,26
0.5,62,1000,0.01,0.9,0.001994764689087502,19947.646890875018,32
0.5,62,1000,0.05,0.8,0.001994764689087502,19947.646890875018,17
0.5,62,1000,0.05,0.9,0.001994764689087502,19947.646890875018,23
0.5,63,1000,0.01,0.8,0.001187703399751551,11877.03399751551,26
0.5,63,1000,0.01,0.9,0.001187703399751551,11877.03399751551,32
0.5,63,1000,0.05,0.8,0.001187703399751551,11877.03399751551,17
0.5,63,1000,0.05,0.9,0.001187703399751551,11877.03399751551,23
0.5,64,1000,0.01,0.8,0.0006072173323067068,6072.173323067069,26
0.5,64,1000,0.01,0.9,0.0006072173323067068,6072.173323067069,32
0.5,64,1000,0.05,0.8,0.0006072173323067068,6072.173323067069,17
0.5,64,1000,0.05,0.9,0.0006072173323067068,6072.173323067069,23
0.5,65,1000,0.01,0.8,0.00027802525818778755,2780.2525818778754,26
0.5,65,1000,0.01,0.9,0.00027802525818778755,2780.2525818778754,32
0.5,65,1000,0.05,0.8,0.00027802525818778755,2780.2525818778754,17
0.5,65,1000,0.05,0.9,0.00027802525818778755,2780.2525818778754,23
0.5,66,1000,0.01,0.8,0.0003610658705021932,3610.6587050219323,26
0.5,66,1000,0.01,0.9,0.0003610658705021932,3610.6587050219323,32
0.5,66,1000,0.05,0.8,0.0003610658705021932,3610.6587050219323,17
0.5,66,1000,0.05,0.9,0.0003610658705021932,3610.6587050219323,23
0.5,67,1000,0.01,0.8,0.00011563779249611663,1156.3779249611662,26
0.5,67,1000,0.01,0.9,0.00011563779249611663,1156.3779249611662,32
0.5,67,1000,0.05,0.8,0.00011563779249611663,1156.3779249611662,17
0.5,67,1000,0.05,0.9,0.00011563779249611663,1156.3779249611662,23
0.5,68,1000,0.01,0.8,0.0006197965149828423,6197.965149828423,26
0.5,68,1000,0.01,0.9,0.0006197965149828423,6197.965149828423,32
0.5,68,1000,0.05,0.8,0.0006197965149828423,6197.965149828423,17
0.5,68,1000,0.05,0.9,0.0006197965149828423,6197.965149828423,23
0.5,69,1000,0.01,0.8,0.0009439626195894503,9439.626195894503,26
0.5,69,1000,0.01,0.9,0.0009439626195894503,9439.626195894503,32
0.5,69,1000,0.05,0.8,0.0009439626195894503,9439.626195894503,17
0.5,69,1000,0.05,0.9,0.0009439626195894503,9439.626195894503,23
